domain,module,difficulty,cc_present,loc,has_legacy_algo,has_ui,has_config,cc_path
Bundle,GetBundlesFromBundle,easy,1,149,0,0,0,src/Modules/Legacy/Bundle/GetBundlesFromBundle.cc
Bundle,GetNrrdsFromBundle,easy,1,188,0,0,0,src/Modules/Legacy/Bundle/GetNrrdsFromBundle.cc
Bundle,InsertBundlesIntoBundle,easy,1,159,0,0,0,src/Modules/Legacy/Bundle/InsertBundlesIntoBundle.cc
Bundle,InsertColorMapsIntoBundle,easy,1,164,0,0,0,src/Modules/Legacy/Bundle/InsertColorMapsIntoBundle.cc
Bundle,InsertNrrdsIntoBundle,easy,1,165,0,0,0,src/Modules/Legacy/Bundle/InsertNrrdsIntoBundle.cc
Bundle,JoinBundles,easy,1,83,0,0,0,src/Modules/Legacy/Bundle/JoinBundles.cc
Converters,ConvertMatrixToField,easy,1,80,0,0,0,src/Modules/Legacy/Converters/ConvertMatrixToField.cc
Fields,CalculateIsInsideField,easy,1,95,0,0,0,src/Modules/Legacy/Fields/CalculateIsInsideField.cc
Fields,CalculateLatVolGradientsAtNodes,easy,1,76,0,0,0,src/Modules/Legacy/Fields/CalculateLatVolGradientsAtNodes.cc
Fields,CalculateMeshConnector,easy,1,80,0,0,0,src/Modules/Legacy/Fields/CalculateMeshConnector.cc
Fields,CalculateNodeNormals,easy,1,159,0,0,0,src/Modules/Legacy/Fields/CalculateNodeNormals.cc
Fields,CalculateProfile,easy,1,196,0,0,0,src/Modules/Legacy/Fields/CalculateProfile.cc
Fields,ChooseField,easy,1,57,0,0,0,src/Modules/Legacy/Fields/ChooseField.cc
Fields,ClipVolumeByIsovalue,easy,1,189,0,1,0,src/Modules/Legacy/Fields/ClipVolumeByIsovalue.cc
Fields,CollectPointClouds,easy,1,128,0,0,0,src/Modules/Legacy/Fields/CollectPointClouds.cc
Fields,CompositeModuleTestGFB_FM,easy,1,169,0,0,0,src/Modules/Legacy/Fields/CompositeModuleTestGFB_FM.cc
Fields,ConvertLatVolDataFromElemToNode,easy,1,79,0,0,0,src/Modules/Legacy/Fields/ConvertLatVolDataFromElemToNode.cc
Fields,ConvertLatVolDataFromNodeToElem,easy,1,79,0,0,0,src/Modules/Legacy/Fields/ConvertLatVolDataFromNodeToElem.cc
Fields,ConvertMeshCoordinateSystem,easy,1,87,0,0,0,src/Modules/Legacy/Fields/ConvertMeshCoordinateSystem.cc
Fields,ConvertMeshToIrregularMesh,easy,1,86,0,0,0,src/Modules/Legacy/Fields/ConvertMeshToIrregularMesh.cc
